127.0.0.1 - - [01/Oct/2016:01:55:48 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [01/Oct/2016:01:55:54 +0800] "GET /BFoa/ HTTP/1.1" 200 1110
0:0:0:0:0:0:0:1 - - [01/Oct/2016:01:55:55 +0800] "GET /BFoa/web/page/main/main_top.jsp HTTP/1.1" 200 1975
0:0:0:0:0:0:0:1 - - [01/Oct/2016:01:55:55 +0800] "GET /BFoa/web/page/main/main_left.jsp HTTP/1.1" 200 3288
0:0:0:0:0:0:0:1 - - [01/Oct/2016:01:55:55 +0800] "GET /BFoa/web/page/main/main_right.jsp HTTP/1.1" 200 1405
0:0:0:0:0:0:0:1 - - [01/Oct/2016:01:55:55 +0800] "GET /BFoa/web/js/jquery-1.4.2.min.js HTTP/1.1" 200 72174
0:0:0:0:0:0:0:1 - - [01/Oct/2016:01:55:55 +0800] "GET /BFoa/web/js/jquery-1.4.2.min.js HTTP/1.1" 200 72174
0:0:0:0:0:0:0:1 - - [01/Oct/2016:01:55:55 +0800] "GET /BFoa/web/css/reset.css HTTP/1.1" 200 689
0:0:0:0:0:0:0:1 - - [01/Oct/2016:01:55:55 +0800] "GET /BFoa/web/css/reset.css HTTP/1.1" 200 689
0:0:0:0:0:0:0:1 - - [01/Oct/2016:01:55:56 +0800] "GET /BFoa/web/imgs/Bitmap_201.bmp HTTP/1.1" 200 290
0:0:0:0:0:0:0:1 - - [01/Oct/2016:01:55:56 +0800] "GET /BFoa/web/imgs/Bitmap_202.bmp HTTP/1.1" 200 5276
0:0:0:0:0:0:0:1 - - [01/Oct/2016:01:55:56 +0800] "GET /BFoa/web/imgs/Bitmap_203.bmp HTTP/1.1" 200 1334
0:0:0:0:0:0:0:1 - - [01/Oct/2016:01:55:56 +0800] "GET /BFoa/web/imgs/gwgl_normal.jpg HTTP/1.1" 200 13472
0:0:0:0:0:0:0:1 - - [01/Oct/2016:01:55:56 +0800] "GET /BFoa/web/imgs/lcgl_normal.jpg HTTP/1.1" 200 13292
0:0:0:0:0:0:0:1 - - [01/Oct/2016:01:55:56 +0800] "GET /BFoa/web/imgs/logo.jpg HTTP/1.1" 200 63400
0:0:0:0:0:0:0:1 - - [01/Oct/2016:01:55:56 +0800] "GET /BFoa/web/imgs/mainFunction_bar.jpg HTTP/1.1" 200 28594
0:0:0:0:0:0:0:1 - - [01/Oct/2016:01:55:56 +0800] "GET /BFoa/web/imgs/main_left_bar2.jpg HTTP/1.1" 200 11116
0:0:0:0:0:0:0:1 - - [01/Oct/2016:01:55:56 +0800] "GET /BFoa/web/imgs/main_top_bar.jpg HTTP/1.1" 200 11054
0:0:0:0:0:0:0:1 - - [01/Oct/2016:01:55:56 +0800] "GET /BFoa/web/imgs/zzgl_normal.jpg HTTP/1.1" 200 13696
0:0:0:0:0:0:0:1 - - [01/Oct/2016:01:55:56 +0800] "GET /BFoa/web/imgs/qxgl_normal.jpg HTTP/1.1" 200 13916
0:0:0:0:0:0:0:1 - - [01/Oct/2016:01:56:29 +0800] "GET /BFoa/web/imgs/qxgl_choose.jpg HTTP/1.1" 200 15613
0:0:0:0:0:0:0:1 - - [01/Oct/2016:01:56:30 +0800] "GET /BFoa/web/imgs/zzgl_choose.jpg HTTP/1.1" 200 15672
0:0:0:0:0:0:0:1 - - [01/Oct/2016:01:56:30 +0800] "GET /BFoa/web/page/main/main_right_zzgl.jsp HTTP/1.1" 200 2768
0:0:0:0:0:0:0:1 - - [01/Oct/2016:01:56:30 +0800] "GET /BFoa/web/page/main/main_right_zzgl.jsp HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Oct/2016:01:56:30 +0800] "GET /BFoa/web/js/mainjs.js HTTP/1.1" 200 5253
0:0:0:0:0:0:0:1 - - [01/Oct/2016:01:56:30 +0800] "GET /BFoa/web/imgs/icos/yggl.jpg HTTP/1.1" 200 14948
0:0:0:0:0:0:0:1 - - [01/Oct/2016:01:56:30 +0800] "GET /BFoa/web/imgs/icos/zzgl.jpg HTTP/1.1" 200 18864
0:0:0:0:0:0:0:1 - - [01/Oct/2016:01:56:31 +0800] "GET /BFoa/web/imgs/gwgl_choose.jpg HTTP/1.1" 200 15061
